policy,seed,total_reward,final_revenue,units_sold,initial_inventory,sell_through_pct,spoilage_pct,mean_price,mean_discount_depth_pct,steps
q_learning,5000411,1761993.3520625182,1748125.1241417932,100,100,100.0,0.0,18330.399234969922,10.742249684265756,28
q_learning,5000412,1309693.958027301,1359851.5622087687,100,100,100.0,0.0,14337.491611223857,25.328363652420105,25
q_learning,5000413,1159347.3042032726,1254223.2619476756,100,100,100.0,0.0,13112.700043359166,31.722497842850494,22
q_learning,5000414,1360311.9003878275,1446022.7130741966,100,100,100.0,0.0,16635.61923186827,17.919819122949995,28
q_learning,5000415,1181435.463951294,1329901.0984686043,100,100,100.0,0.0,20467.483456861868,18.612813828012236,30
q_learning,5000416,782044.7068410689,1019073.8970580992,100,100,100.0,0.0,12498.932815811118,38.01727289715547,23
q_learning,5000417,1271583.7346186137,1336241.3632965405,100,100,100.0,0.0,14359.754073323182,25.49642795371712,24
q_learning,5000418,1376905.7215757447,1433799.268957661,100,100,100.0,0.0,16499.697909176542,17.89502575362383,30
q_learning,5000419,1061516.3197344078,1342493.2063144783,91,100,91.0,9.0,19082.034223256156,15.381072356718784,30
q_learning,5000420,1327586.0460447408,1373697.1072647772,100,100,100.0,0.0,14420.504174973406,24.81291448278957,25
q_learning,5000421,670443.327617997,920171.7111895196,100,100,100.0,0.0,10531.356800224568,45.23320592233141,23
q_learning,5000422,1674052.0515436458,1801615.3158307802,91,100,91.0,9.0,21605.859228422592,4.2213521641733625,30
q_learning,5000423,1136111.034971818,1263316.218474931,100,100,100.0,0.0,15156.808006447174,25.599260497558696,26
q_learning,5000424,868898.7144188653,1064601.5730540608,100,100,100.0,0.0,12429.435059975613,35.34938117215844,20
q_learning,5000425,944586.8378867895,1106708.1025017714,100,100,100.0,0.0,12155.52293386977,37.8033116333104,22
q_learning,5000426,1389182.2299766126,1439748.4602998667,100,100,100.0,0.0,15599.45817045245,20.246235114318186,27
q_learning,5000427,1126280.792815515,1280181.4497616598,100,100,100.0,0.0,17733.875064243457,20.12465854006416,30
q_learning,5000428,1009617.943705836,1149064.981982291,100,100,100.0,0.0,12129.579262171295,36.976672747235526,18
q_learning,5000429,1362263.9645499722,1419190.2414520544,100,100,100.0,0.0,15483.492667491164,20.820215922155555,25
q_learning,5000430,1291758.7815537208,1353866.1285788515,100,100,100.0,0.0,14291.376019287443,25.70238931410072,19
q_learning,5000431,1227371.7714183487,1360385.171117996,100,100,100.0,0.0,17196.65464630257,20.175783991623966,28
q_learning,5000432,1712940.729886789,1705048.5448195867,100,100,100.0,0.0,17873.96169773878,12.692513129358526,26
q_learning,5000433,1586937.4828834038,1583942.691902436,100,100,100.0,0.0,17624.92626798614,13.004493723817598,27
q_learning,5000434,1291634.7473119379,1354764.0066340822,100,100,100.0,0.0,14697.518032333986,23.781366312058207,23
q_learning,5000435,985834.5584281118,1119633.7297691745,100,100,100.0,0.0,12512.213089712195,34.78585894510465,27
q_learning,5000436,1669004.6605272542,1799038.0965485561,93,100,93.0,7.0,22235.02329595137,6.79764935156648,30
q_learning,5000437,526541.6272065836,826959.7982696953,100,100,100.0,0.0,8890.575897225175,53.898805444883244,20
q_learning,5000438,1845432.2885544247,1814034.5843814977,100,100,100.0,0.0,20016.64044293162,7.600356807244432,29
q_learning,5000439,1316850.5690181407,1372437.6230396272,100,100,100.0,0.0,14599.124721301007,24.154910826054316,23
q_learning,5000440,889218.6787118901,1085986.814063172,100,100,100.0,0.0,13197.79175218606,34.2637279856411,24
q_learning,5000441,1052867.847879938,1253480.6038633531,100,100,100.0,0.0,16330.235139044016,28.35505334921643,27
q_learning,5000442,1096364.246085509,1212044.0723970446,100,100,100.0,0.0,12749.472147420474,33.62640756052892,22
q_learning,5000443,1423526.5444401295,1456833.777106197,100,100,100.0,0.0,16016.791235961424,20.36893525733375,27
q_learning,5000444,762305.9723073915,978278.1418889351,100,100,100.0,0.0,11129.164955022754,42.08159509195886,24
q_learning,5000445,1449009.7884839042,1496208.2157093766,100,100,100.0,0.0,16268.284462861553,17.050532550897852,26
